Row Labels,Sum of tripduration,Average of tripduration2
9/7/2015,987512.688,2156.14124
9/12/2015,1093997.691,2128.400177
8/9/2015,1197728.788,1996.214647
9/5/2015,599497.919,1985.092447
8/23/2015,850892.7,1978.820233
8/22/2015,991845.439,1948.615794
8/1/2015,1272044.451,1887.306307
9/27/2015,599380.791,1878.936649
8/2/2015,916218.57,1850.946606
9/6/2015,619479.09,1800.811308
9/26/2015,872589.593,1788.093428
8/16/2015,980554.431,1760.420882
10/3/2015,654017.445,1758.111411
9/19/2015,666601.598,1735.941661
9/13/2015,441002.174,1689.663502
9/20/2015,531998.856,1683.540684
10/11/2015,523648.014,1641.529824
8/30/2015,532408.075,1613.357803
10/4/2015,697315.294,1509.340463
8/8/2015,816560.122,1442.685728
8/15/2015,715047.948,1300.087178
8/29/2015,355331.259,1296.829412
8/7/2015,809884.863,1265.445098
8/13/2015,793014.881,1254.770381
8/27/2015,726757.567,1246.582448
8/10/2015,713894.406,1214.106133
8/12/2015,728519.08,1206.157417
9/11/2015,763680.079,1204.542711
8/18/2015,715231.689,1196.039614
8/6/2015,756368.881,1191.132096
8/3/2015,754414.936,1186.187006
8/21/2015,729927.717,1179.204712
8/4/2015,720789.277,1175.838951
8/19/2015,718907.728,1126.814621
9/24/2015,613128.929,1120.893837
8/25/2015,569025.734,1098.505278
10/5/2015,527236.35,1078.192945
9/10/2015,567961.385,1077.725588
8/5/2015,661725.664,1065.580779
9/18/2015,526057.757,1064.894245
10/10/2015,134626.878,1060.054157
9/28/2015,529761.428,1051.113944
8/17/2015,605170.949,1043.398188
8/28/2015,514581.872,1037.463452
8/20/2015,532416.637,1033.818713
8/26/2015,562043.294,1003.648739
9/4/2015,434972.001,990.8246036
8/24/2015,622079.251,988.9972194
8/11/2015,584948.065,979.8125042
9/9/2015,562780.798,978.7492139
9/22/2015,451539.457,975.2472073
9/3/2015,491033.614,957.1805341
8/14/2015,329436.343,949.3842738
9/2/2015,420432.632,940.5651723
9/15/2015,408041.577,935.8751766
9/25/2015,354011.437,919.510226
10/2/2015,398724.721,918.7205553
9/21/2015,366870.029,914.8878529
8/31/2015,373292.407,906.0495316
9/30/2015,391523.634,879.828391
9/16/2015,418136.496,878.4380168
9/29/2015,465313.05,873.0075985
9/14/2015,354459.885,841.9474703
9/23/2015,379232.043,806.8766872
9/8/2015,324214.936,792.701555
10/9/2015,283867.658,767.2098865
10/1/2015,339761.955,756.7081403
10/8/2015,324958.044,753.9629791
10/6/2015,289069.636,728.1351033
10/12/2015,284544.862,724.0327277
9/1/2015,218154.764,686.0212704
9/17/2015,209756.286,674.4575113
10/7/2015,144844.104,572.5063399
Grand Total,42416800.6,1223.232224
