birthyear,(All),,,,,,,,,
,,,,,,,,,,
,Column Labels,,,,,,,,,
,Sum of tripduration,,,,Average of tripduration2,,,,Total Sum of tripduration,Total Average of tripduration2
Row Labels,Female,Male,Other,(blank),Female,Male,Other,(blank),,
BT-01,86381.16,260244.813,26518.582,1865343.336,744.6651724,594.1662397,697.8574211,1748.213061,2238487.891,1349.299512
BT-03,51297.373,304748.079,3183.062,732573.99,693.2077432,567.5010782,795.7655,1953.53064,1091802.504,1102.830812
BT-04,39112.746,148848.093,688.353,165513.609,752.1681923,396.928248,688.353,1253.890977,354162.801,632.4335732
BT-05,64726.602,137881.96,189.305,766313.792,653.8040606,514.4849254,189.305,1786.279235,969111.659,1215.949384
CBD-03,24729.388,110388.974,,663376.312,562.0315455,533.2800676,,2394.860332,798494.674,1512.300519
CBD-04,41618.678,148983.665,2250.552,649507.604,612.0393824,533.9916308,562.638,2231.984893,842360.499,1312.088005
CBD-05,52862.918,143817.33,2150.257,659946.589,755.1845429,609.3954661,537.56425,2399.805778,858777.094,1467.995032
CBD-06,38567.485,169947.511,2369.803,585497.414,727.6883962,491.1777775,592.45075,2160.507063,796382.213,1181.575984
CBD-07,46747.984,138352.166,1688.609,234707.347,834.7854286,623.207955,844.3045,1700.777877,421496.106,1008.36389
CBD-13,32720.758,215137.571,6691.176,1041663.658,564.151,452.9212021,608.2887273,1661.345547,1296213.163,1106.928406
CD-01,40288.098,46385.374,1346.366,120204.935,789.9627059,521.1839775,673.183,1541.08891,208224.773,946.4762409
CH-01,39557.458,205775.76,46461.535,183732.225,416.3942947,474.1376959,673.3555797,1583.898491,475526.978,666.0041709
CH-02,98101.041,328353.487,12144.071,364456.237,573.6902982,485.0125362,467.0796538,1822.281185,803054.836,747.723311
CH-03,54057.577,213999.988,2375.147,266722.135,412.6532595,446.7640668,791.7156667,2036.046832,537154.847,721.9823212
CH-05,142046.574,237025.927,8077.388,440263.734,607.036641,522.0835396,384.6375238,2701.004503,827413.623,948.8688337
CH-06,31528.359,123346.636,277.526,80687.963,594.8746981,404.4152,277.526,1301.418758,235840.484,560.1911734
CH-07,162922.475,422824.081,11295.359,351679.75,619.4770913,512.5140376,342.2836061,2170.862654,948721.665,739.4557015
CH-08,109761.466,382119.297,10109.203,392424.334,596.5297065,497.551168,374.4149259,1357.869668,894414.3,705.3740536
CH-09,62694.609,172285.806,4052.111,375659.535,602.8327788,479.9047521,270.1407333,1806.055457,614692.061,896.0525671
CH-12,64906.792,257434.024,765.391,307486.549,545.4352269,506.7598898,765.391,1560.845426,630592.756,764.3548558
